,zone,code,pitch_type,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,batter_id,g_id,inning,pitcher_id,stand,top,home_team,start_time,weather,wind,pitch_height,pitch_width,FF_height,FF_width,CH_height,CH_width,SL_height,SL_width,FC_height,FC_width,CU_height,CU_width,run_dif,run_total,batter_score
91,11.0,0,FF,2015000685.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,434158,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,2.0,4.0,0.08304498269896193
92,7.0,0,CH,2015000685.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,434158,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",-1,-1,0,0,-1,-1,0,0,0,0,0,0,2.0,4.0,0.09448818897637795
93,4.0,0,FF,2015000686.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,431151,201500010,8,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,2.0,4.0,0.10375275938189846
94,13.0,0,FF,2015000687.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,446263,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,2.0,4.0,0.07651715039577836
95,5.0,1,CH,2015000687.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,446263,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0.11864406779661017
96,13.0,1,FF,2015000688.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,150212,201500010,8,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,2,-2,2,0,0,0,0,0,0,0,0,2.0,4.0,0.08067940552016985
97,11.0,0,FF,2015006895.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,519184,201500091,1,453286,L,False,0,1.6333333333333333,62,"3 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.058704453441295545
98,12.0,0,FF,2015006895.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,519184,201500091,1,453286,L,False,0,1.6333333333333333,62,"3 mph, Out to CF",2,2,2,2,0,0,0,0,0,0,0,0,-1.0,1.0,0.08637873754152824
99,2.0,0,FF,2015006895.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,519184,201500091,1,453286,L,False,0,1.6333333333333333,62,"3 mph, Out to CF",1,0,1,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.1693548387096774
100,12.0,0,FF,2015006895.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,519184,201500091,1,453286,L,False,0,1.6333333333333333,62,"3 mph, Out to CF",2,2,2,2,0,0,0,0,0,0,0,0,-1.0,1.0,0.08637873754152824
